FIPS,enthusiast_est,enthusiast_se,audience_est,audience_se,no_outreach_est,no_outreach_se
31123,0.130944345397868,0.032978381502931,0.31328813190904,0.033757008053659,0.555767522693092,0.056623958424541
31125,0.155610628520159,0.032882776232828,0.32062897022713,0.061860312460845,0.523760401252712,0.082255927240205
31127,0.14149817980357,0.029881472884845,0.318725853644979,0.059520418625625,0.539775966551451,0.0769600749274
31129,0.154851509992565,0.039157721327617,0.30154961784608,0.0418234002855,0.543598872161355,0.060037312754243
31131,0.137247946828063,0.031722200009016,0.353039939009178,0.06462041650522,0.509712114162759,0.06773817327611
31133,0.142297636556024,0.046591795813082,0.33910614884927,0.160773958254777,0.518596214594706,0.135375095208313
31135,0.120620804654994,0.051127056571348,0.258510971862562,0.073552310290996,0.620868223482444,0.120924652301403
31137,0.133287982747145,0.042651578533868,0.297601548232219,0.04724708429565,0.569110469020636,0.077764509636583
31139,0.087771399463847,0.065038391388204,0.193925584583612,0.136140427311108,0.718303015952541,0.196812730924163
31141,0.126267204004603,0.045260654916717,0.319568753923357,0.024766460944259,0.55416404207204,0.044875360035474
31143,0.141412822316781,0.035338282587968,0.302321682402571,0.030591636287564,0.556265495280648,0.057528316238846
31145,0.160013658172935,0.034737025660906,0.339154182762412,0.050838985133721,0.500832159064653,0.064085048554745
31147,0.13889232099537,0.035977760097961,0.335004620233229,0.06400356598675,0.526103058771401,0.076377457163984
31149,0.085588671311986,0.051293750655281,0.4493024296484,0.204534753357456,0.465108899039614,0.180983590231825
31151,0.147610465148664,0.043262279071298,0.294275001883074,0.213919511823389,0.558114532968262,0.188369749875609
31153,0.188948899343596,0.059258073209985,0.349334355021171,0.027239753488288,0.461716745635233,0.050734418052118
31155,0.139090989991018,0.032102430114538,0.334208244452329,0.054610933664211,0.526700765556653,0.06515798345261
31157,0.127166031920559,0.048043231760405,0.218189370584162,0.106625814969338,0.65464459749528,0.144541261737118
31159,0.150222063912134,0.056797745097617,0.358098598037559,0.019866850479939,0.491679338050307,0.066506093226299
31161,0.10896224682616,0.045972191279243,0.283627296649742,0.143064891798489,0.607410456524098,0.138340129948193
31163,0.165944913619758,0.051177313348117,0.339908196354127,0.11662715617752,0.494146890026116,0.161281950610908
31165,0.084182398995187,0.095113245517952,0.406993572334357,0.099182803658895,0.508824028670456,0.051451472138452
31167,0.106529352164058,0.055820366463685,0.210060640370647,0.089831550567482,0.683410007465295,0.137456115050979
31169,0.150943841097675,0.047750094447034,0.305492093548468,0.08615512832587,0.543564065353858,0.125857324193836
31171,0.10185659264592,0.03741813202505,0.192262545178293,0.129751393833119,0.705880862175787,0.16178493937406
31173,0.122380356199664,0.056554183646394,0.197672349865173,0.127504539381972,0.679947293935163,0.174730398682303
31175,0.152709334333542,0.044000832895685,0.323089797179485,0.119517740160062,0.524200868486974,0.154568614271657
31177,0.150693290387459,0.032133435670602,0.340304648552936,0.022064831106447,0.509002061059605,0.031787671033155
31179,0.128382238562122,0.059541025421031,0.266315034376465,0.110853704499653,0.605302727061413,0.162205228786331
31181,0.159147588754466,0.028188477025129,0.306472076454626,0.030418996739473,0.534380334790908,0.052472704567386
31183,0.134340721203689,0.030702608771291,0.25120492625169,0.156800369296966,0.614454352544621,0.169839004324989
31185,0.14487108982433,0.034067979422971,0.305934358949299,0.038533020080829,0.549194551226371,0.066011331869258
32001,0.13511190913028,0.037480205450873,0.310941544394641,0.098930745192385,0.553946546475079,0.101231414353635
32003,0.169764142270385,0.024515633097235,0.405988515743609,0.039990980983062,0.424247341986006,0.043977048903152
32005,0.222802908414925,0.040168139185622,0.320326981498555,0.068417750027882,0.45687011008652,0.078670750309585
32007,0.108120190695237,0.048839376276047,0.379407355774949,0.049165372691476,0.512472453529814,0.064214673110777
32009,0.133013992205674,0.131133801614425,0.477416540729917,0.448284808651246,0.389569467064409,0.320842728325616
32011,0.041681734280838,0.06593453912601,0.675481957955456,0.217719057412069,0.282836307763706,0.170563043135484
32013,0.135040759336283,0.036899001243223,0.315322192183719,0.021330277212003,0.549637048479998,0.051547315305534
32015,0.162946687066496,0.130692472146403,0.323052128219666,0.460661534756063,0.514001184713838,0.336789698661299
32017,0.15136101499373,0.06746226792228,0.294428251815551,0.277682964238911,0.554210733190719,0.221579127034499
32019,0.148678182686971,0.043884236766062,0.292220341252618,0.051869183155237,0.559101476060411,0.069979857806432
32021,0.227800986572652,0.092946996881742,0.23808373219765,0.128872861329962,0.534115281229698,0.137844307082538
32023,0.11724483038144,0.045846937423843,0.328488539906394,0.088808528485543,0.554266629712166,0.116164952551436
32027,0.136990507813729,0.043706064721518,0.294045834759734,0.064669229708139,0.568963657426537,0.074516384746285
32029,0.222942855761557,0.012307131234826,0.320043106055306,0.051254323495418,0.457014038183137,0.048444158533141
32031,0.230991366224046,0.027703337979809,0.357315740210879,0.009345736244593,0.411692893565075,0.022444246149625
32033,0.117452494178661,0.038958151813439,0.331694511457318,0.021886354008682,0.550852994364021,0.060110289185659
32510,0.182460752247405,0.037561143494218,0.315230823583336,0.038172742208605,0.502308424169259,0.06415302970109
33001,0.20354681175254,0.026257730358907,0.325008539084056,0.026003282343929,0.471444649163405,0.016013936611178
33003,0.230414650224404,0.03743132758313,0.306831188127615,0.067732929674241,0.46275416164798,0.05482381408347
33005,0.248139517677855,0.052522519042763,0.366611512052655,0.038553496241167,0.385248970269489,0.055312820918155
33007,0.192427187633085,0.027855449171066,0.307648794504386,0.063544601947339,0.499924017862528,0.037637156313949
33009,0.265249564363988,0.036588832242523,0.362249025249283,0.042224125862381,0.372501410386728,0.035472098454852
33011,0.226430754606582,0.044928183275204,0.33642407802918,0.048585279219727,0.437145167364239,0.072578398768701
33013,0.249937360239793,0.043902729136249,0.361705324443208,0.022847866308888,0.388357315316998,0.026285364485006
33015,0.237714217350727,0.045471413818836,0.332873207866854,0.027968563915058,0.42941257478242,0.04327921476236
33017,0.217231023223636,0.022396141271784,0.400987532297657,0.026896569585601,0.381781444478707,0.044810451375942
33019,0.203677102850721,0.033475708421849,0.322367214140693,0.064314864358477,0.473955683008587,0.033755403201298
34001,0.208068961900003,0.021047053277815,0.366233030692528,0.016733709163468,0.425698007407468,0.026366229815798
34003,0.267035248042665,0.0320426537972,0.408670809485836,0.04170729411094,0.324293942471499,0.044642268733107
34005,0.243138988520535,0.007646768558873,0.38968606549108,0.028713491858068,0.367174945988384,0.030775401700007
34007,0.239020135133791,0.021329162777653,0.379337076057413,0.024337090067808,0.381642788808796,0.018268564532005
34009,0.199092386707142,0.024266851623427,0.352914605563137,0.014600774042875,0.447993007729722,0.011945611264954
34011,0.18074187155838,0.024898157703024,0.354216537934592,0.041031827760286,0.465041590507029,0.023969047762603
34013,0.24125912006622,0.023025975394792,0.38503649721798,0.05035546247743,0.3737043827158,0.041891596028657
34015,0.19840359672544,0.02114361380734,0.36776036895908,0.040784757549635,0.43383603431548,0.042467172625828
34017,0.245896351944546,0.024760857895918,0.411201262437938,0.028814451623432,0.342902385617516,0.051282267841205
34019,0.229337876695203,0.049916182909002,0.375745972861029,0.032952840195707,0.394916150443768,0.050892691989353
34021,0.266459168840309,0.011611428298852,0.36811712156771,0.033355488180546,0.365423709591981,0.035039132484534
34023,0.266087142711803,0.017960462066377,0.38819915222654,0.022625491399013,0.345713705061658,0.030671363835066
34025,0.235045896951916,0.031903519743066,0.36079878340524,0.021040824460175,0.404155319642845,0.04483189269787
34027,0.269128682679247,0.046777835986001,0.364716498713898,0.020761792654997,0.366154818606854,0.044695694244293
34029,0.188675958267844,0.011345214087844,0.353140766240937,0.026473460348922,0.45818327549122,0.03653160584657
34031,0.200462817983886,0.015512029190778,0.38898946478904,0.053081285033412,0.410547717227073,0.062440472364161
34033,0.167781827568273,0.021184609224642,0.32398776768119,0.033775321680277,0.508230404750537,0.032700299573615
34035,0.298790947440554,0.031702452373814,0.406014515241752,0.047274479549089,0.295194537317695,0.048517690620655
34037,0.184485773670414,0.024939322039341,0.355608512081291,0.030426099131212,0.459905714248294,0.017116260647635
34039,0.229844300668869,0.016055774968867,0.405867070586907,0.026761890968936,0.364288628744224,0.039433488602128
34041,0.18123489251875,0.026841536987591,0.342909064472448,0.015276602823144,0.475856043008801,0.037702239499152
35001,0.224463167819671,0.020614047398972,0.380546702313768,0.034918324613287,0.394990129866561,0.041683291623564
35003,0.091362907968852,0.02919193193143,0.609811939846769,0.103242939356854,0.298825152184379,0.106335936769978
35005,0.126006175842818,0.033098772891727,0.257183576180449,0.139524722980996,0.616810247976733,0.132614543199306
35006,0.164919336897061,0.050541523343686,0.315799493185543,0.099348111628078,0.519281169917396,0.076679476844236
35007,0.190374611436869,0.037468819009532,0.309138981470887,0.06396496057258,0.500486407092244,0.036425455567138
35009,0.105316300312657,0.046387518372047,0.335687264955094,0.047509330332182,0.558996434732248,0.085905648757411
35011,0.120870527887382,0.08369410941247,0.247375726252569,0.328000439623966,0.631753745860049,0.262898855213633
35013,0.189841307822766,0.02255085707774,0.410515653038434,0.021443792151208,0.399643039138799,0.038767111994912
35015,0.114365516393035,0.039239049110133,0.297427012732327,0.039940787388866,0.588207470874638,0.064925225527348
35017,0.213293918044912,0.065557271939224,0.358124621255952,0.034875005893846,0.428581460699136,0.06333425348342
35019,0.188970329474732,0.171996997890288,0.389779668608074,0.491294336764964,0.421250001917194,0.319789387887555
35021,0.184409056292074,0.068480851892342,0.342805792477951,0.076832824237936,0.472785151229975,0.095332356645308
35023,0.161412072260868,0.030263949873692,0.314753832777422,0.030208530724613,0.52383409496171,0.055997035948968
35025,0.104692343962733,0.044055988532379,0.300008105492483,0.080216102386666,0.595299550544784,0.111273172287058
35027,0.188820315017376,0.06258216962444,0.315580895186649,0.064436616072515,0.495598789795975,0.096205545694368
35028,0.373525861841126,0.261875966865225,0.438478901984903,0.390304623053599,0.18799523617397,0.157202533223325
35029,0.169970137566408,0.087831354093107,0.235182865338802,0.376820160106254,0.59484699709479,0.298213090795561
